County,Corr_GDPPC.Agri,Spearman_rho_GDPPC.Agri
Anxiang,0.045785020437583,-0.110295043563359
Hanshou,-0.01614191225851325,-0.20330256660652196
Jinshi,0.034058070245936704,-0.01382931471217689
Li,0.05197257828424657,0.13802668605731722
Linli,0.03604908370405526,0.12190965340318055
Shimen,0.18620765468420244,0.4170900013408134
Liuyang,0.3541426637110633,0.08304210405087917
Ningxiang,-0.004708132072879036,-0.24282962271635375
Wangcheng,0.1456042289660261,-0.17312757287053512
Anren,0.06581613413453387,0.412703538139852
Guidong,0.17210993234313196,0.4752056050681999
Jiahe,0.081419418960783,0.2384837157969505
Linwu,0.10469917542351954,0.27145944211392764
Rucheng,0.1506578622906058,0.42542700996457083
Yizhang,0.12254576183724612,0.32737407952993863
Yongxing,0.08239679208786943,0.3942447316861514
Zixing,0.12550184045383056,0.4214529074851865
Changning,-0.0375991772535197,0.15771305040965022
Hengdong,0.0725245731517358,0.10742438029632136
Hengnan,-0.16682132270514,0.07138712945594851
Hengshan,0.0035809165750302287,-0.11998806651185076
Leiyang,0.005651526480769246,0.30785036873390503
Qidong,-0.12707747164390337,0.04677696860729179
Chenxi,-0.19425388659294968,-0.21992518240017894
Zhongfang,-0.23583492824983351,-0.22154372936942784
Huitong,-0.14900105865913543,-0.11293419917225332
Jingzhou,-0.08635106009625516,-0.04281600409602274
Mayang,-0.1439346921358948,-0.14513982961420582
Tongdao,-0.01684390202246795,0.031951448638795406
Xinhuang,-0.14427249958894636,-0.11058537918243938
Xupu,-0.2685961140110944,-0.3173630823140675
Yuanling,0.039726689303589205,0.08092674497248824
Zhijiang,-0.1755428533309669,-0.14784912129431393
Lengshuijiang,-0.12766432934798982,-0.1872930838696347
Shuangfeng,-0.11608820138434577,-0.21976935869904243
Xinhua,-0.11320874788376582,-0.20520746436924603
Chengbu,-4.0122891591413604e-4,0.056481400932191006
Dongan,0.04703275923391794,0.17404622321109023
Dongkou,-0.20405378191918777,-0.13982048877341768
Longhui,-0.2858929090279244,-0.2156167186349586
Shaodong,-0.1671175016046896,-0.11134120513332163
Suining,-0.10963183710668895,-0.05532328635462487
Wugang,-0.1279659126081924,-0.029849702810776247
Xinning,-0.02689684761329638,0.08661553864733851
Xinshao,-0.1801927353515605,-0.17021922292505523
Shaoshan,0.044375953281610224,-0.23464900959211163
Xiangxiang,-0.02851404936764034,-0.24448155279467096
Baojing,0.040894832080560134,0.062379206029469156
Fenghuang,-0.11088715694281519,-0.10249116962004327
Guzhang,0.034036815550739,0.05978381451704917
Huayuan,-0.018607361716480295,-0.012818535751908921
Jishou,-0.044852711721776815,-0.05052148075602087
Longshan,0.14652348611154756,0.23477132798399292
Luxi,-0.09023103208288212,-0.1103323492461254
Yongshun,0.12793199861761403,0.22014244855227533
Anhua,-0.06494167444447446,-0.12126227834886148
Nan,0.08071385955187056,-0.14279893279412165
Yuanjiang,0.08954672251477565,-0.16737230207945092
Jianghua,0.12571706095470717,0.15798720114605738
Lanshan,0.0992818114465987,0.2082138153712908
Ningyuan,0.09264423972587693,0.1457151889409976
Shuangpai,0.13956433874744753,0.14860254196418257
Xintian,0.055845450469966806,0.18386313530680742
Huarong,0.1159772357739495,-0.10998243916749169
Linxiang,0.21042792160542906,-0.07251930284052605
Miluo,0.1970023760694549,-0.10905955654504883
Pingjiang,0.288789548098439,-0.018857364857982107
Xiangyin,0.13368484495567695,-0.1564386890957365
Cili,0.18203957871258217,0.38684778744187276
Chaling,0.23446323626180096,0.4474533681429938
Liling,0.3581893658910908,0.15932217756536457
Yanling,0.20032468817942567,0.48778246386945656
You,0.2928782825575847,0.3205020892863033
Zhuzhou,0.24867088858698397,0.013538601887461239
Sangzhi,0.2052236566912521,0.36711204384609575
Yueyang,0.18686174626496704,-0.09614928301350684
Qiyang,0.09688115663995947,0.16523877392501307
Taojiang,-0.03081322195950619,-0.2402424879680711
Shaoyang,-0.1743121332472466,-0.02320072980437545
Lianyuan,-0.1094178501019316,-0.1993547707336801
Hongjiang,-0.1952448216453561,-0.16618700899282426
Hengyang,-0.19956372192669972,-0.14637291833822683
Guiyang,0.0836786083132344,0.3125305549222535
Changsha,0.24201084222954558,-0.09480926832192552
Taoyuan,-0.0034063837774440625,0.048538962067129564
Xiangtan,0.11772205655594441,-0.1557546352682056
Dao,0.14154375201527575,0.14596235389720447
Jiangyong,0.17903151133997394,0.16295124006967246
