kernel,min_mean,max_mean,mean_abs_change
gaussian,19412.365866291697,32290.52482117642,3701.6072419748325
exponential,20501.534065205535,32266.49526346792,3937.9013102520444
bisquare,13688.698603325904,49005.83829430335,0
tricube,13506.335165278906,48411.36305315706,180.62392829831904
boxcar,15546.454545454548,37463.272727272735,2528.852085905827
