area,centres,area_km2,centres_per_km2
PUNGGOL,72,9.374277550189095,7.680591876495873
TAMPINES,117,20.795427827903303,5.626236736664269
CHOA CHU KANG,74,6.1172940961133095,12.096851784029269
JURONG WEST,110,14.680540058079934,7.492912356412785
