method,sigma_x_km,sigma_y_km
Diggle,0.29597117260689526,0.29597117260689526
CvL,4.357209172549738,4.357209172549738
Scott,2.159748977800427,1.3964549608544088
Likelihood,0.3789970348461525,0.3789970348461525
