r,obs,theo,lo,hi
0,0,0,0,0
3.2519339355458,112.60916597921654,3.2519339355458,0,0
6.5038678710916,112.60916597921654,6.5038678710916,0,34.48866700598357
9.7558018066374,112.60916597921654,9.7558018066374,0,34.81870961688829
13.0077357421832,112.60916597921654,13.0077357421832,0,40.20518274029174
16.259669677729,112.60916597921654,16.259669677729,0,40.20518274029174
19.5116036132748,112.60916597921654,19.5116036132748,0,44.53801837670738
22.7635375488206,112.60916597921654,22.7635375488206,0,48.29223381410558
26.0154714843664,112.60916597921654,26.0154714843664,0,55.7630683846844
29.2674054199122,112.60916597921654,29.267405419912205,0,56.858714709009256
32.519339355458,112.60916597921654,32.519339355458,0,64.22059430207067
35.7712732910038,112.60916597921654,35.7712732910038,0,73.96330486787214
39.0232072265496,112.60916597921654,39.0232072265496,0,79.88950000766118
42.2751411620954,112.60916597921654,42.2751411620954,0,79.88950000766118
45.5270750976412,112.60916597921654,45.5270750976412,0,85.40546795124067
48.779009033187,143.12375213113503,48.779009033187,0,85.40546795124067
52.0309429687328,143.12375213113503,52.0309429687328,0,85.40546795124067
55.2828769042786,143.12375213113503,55.2828769042786,0,87.95764754616279
58.5348108398244,146.49183064010623,58.53481083982441,0,90.58617830809895
61.7867447753702,156.16081616357704,61.7867447753702,0,90.58617830809895
65.038678710916,171.065603222417,65.038678710916,0,93.69648969814621
68.2906126464618,171.065603222417,68.2906126464618,0,98.76477206954816
71.5425465820076,176.67579530382582,71.5425465820076,0,108.19138709869543
74.79448051755341,176.67579530382582,74.79448051755341,0,112.60916597921654
78.0464144530992,182.11324138191964,78.0464144530992,34.164822585260666,112.60916597921654
81.298348388645,187.39297939629242,81.298348388645,34.164822585260666,120.96164806633837
84.5502823241908,187.39297939629242,84.5502823241908,48.316355456146255,124.92865293086162
87.80221625973661,202.40755136157634,87.80221625973661,48.316355456146255,128.77350792501795
91.0541501952824,207.17073366810072,91.0541501952824,48.316355456146255,136.3870309325527
94.3060841308282,218.62514262900785,94.3060841308282,60.39078553873263,140.23664884894168
97.558018066374,218.62514262900785,97.558018066374,61.41005729902378,149.78419297270503
100.80995200191981,220.8447441297823,100.80995200191981,61.41005729902378,156.16081616357704
104.0618859374656,227.37358041411483,104.0618859374656,61.41005729902378,162.28708064804314
107.3138198730114,229.50859045039888,107.31381987301138,68.65853131138715,168.19034629149922
110.5657538085572,231.6239217151888,110.5657538085572,75.21165272884298,168.19034629149922
113.81768774410301,231.6239217151888,113.81768774410301,75.21165272884298,171.065603222417
117.0696216796488,231.6239217151888,117.06962167964882,75.21165272884298,171.065603222417
120.3215556151946,231.6239217151888,120.3215556151946,75.21165272884298,173.89332542120295
123.5734895507404,247.8976104610203,123.5734895507404,82.90788758949019,176.67579530382582
126.82542348628621,247.8976104610203,126.82542348628621,86.8469358983883,176.67579530382582
130.077357421832,249.85730586172323,130.077357421832,95.73378243547079,179.41511827723534
133.3292913573778,266.84771963468893,133.3292913573778,95.73378243547079,182.11324138191964
136.5812252929236,266.84771963468893,136.5812252929236,95.73378243547079,186.57630982063836
139.8331592284694,274.0611201082953,139.8331592284694,95.73378243547079,189.61655135832436
143.0850931640152,275.83499700945936,143.0850931640152,95.73378243547079,189.977832252119
146.337027099561,281.08946909443864,146.337027099561,101.54101012313849,194.1867726174661
149.58896103510682,291.31422511948034,149.58896103510682,106.49434525446001,199.28741185562657
152.8408949706526,297.9358485274023,152.84089497065264,112.2578104707099,201.71990616770847
156.0928289061984,299.56838594541006,156.0928289061984,112.2578104707099,201.71990616770847
159.3447628417442,301.1920747266321,159.3447628417442,112.55800834965521,206.74470643038538
162.59669677729,307.6011345214986,162.59669677729,117.24945905676104,209.6817014808966
165.8486307128358,313.87935586733477,165.8486307128358,117.24945905676104,209.6817014808966
169.1005646483816,315.4293868045398,169.1005646483816,117.24945905676104,209.6817014808966
172.3524985839274,324.85553812106,172.35249858392743,123.88399573754091,215.40537792495127
175.60443251947322,324.85553812106,175.60443251947322,129.49322395369614,220.47300195950712
178.856366455019,326.353441330283,178.856366455019,131.48840271359364,227.38285708860911
182.1083003905648,332.71944322240034,182.1083003905648,140.21572852064946,227.38285708860911
185.3602343261106,337.08837410805046,185.3602343261106,143.5383200018163,237.37079086292786
188.6121682616564,341.40140014269707,188.6121682616564,149.96281831733663,237.37079086292786
191.86410219720221,342.8270176628279,191.86410219720221,155.58022197121988,240.60798388096526
195.116036132748,342.8270176628279,195.116036132748,155.58022197121988,241.44187431674564
198.3679700682938,345.6606140131949,198.3679700682938,159.02660996916626,245.26748227232918
201.61990400383962,347.06873685218875,201.61990400383962,166.81488320402437,245.80529404991947
