GDPPC_LM,GDPPC_LSD,GDPPC_LVar,GDPPC_LSKe,GDPPC_LCV,GDPPC_Median,GDPPC_IQR,GDPPC_QI,County
27085.040556455708,7978.293883611695,63653173.29327577,3.1262271646354782,0.2945645906263955,25246,7419,-0.1093139237093948,Anxiang
28227.25097809639,12654.846852614892,160145148.86313704,2.170538108531623,0.4483202017240263,22879,8460,-0.532387706855792,Hanshou
25962.572566849925,6749.034730534085,45549469.79395528,2.6355263461246303,0.2599524647704414,24418,6039,0.1250206987911906,Jinshi
25161.452232730542,5033.555027050335,25336676.210343704,0.5834812043801291,0.20005025864534887,24418,6039,0.1250206987911906,Li
24790.651779791588,5627.525928690666,31669048.078085743,1.447592180652075,0.2270019351922814,24418,6039,0.1250206987911906,Linli
22612.977176929093,6248.124477218253,39039059.48281386,-0.2150598900536281,0.27630702619701514,22879,6900,0.3139130434782609,Shimen
46252.814916252464,22111.84549457217,488933711.1758317,0.5409293078878238,0.47806486015194805,37651,34717,-0.4143503182878705,Liuyang
41282.12896997138,21496.60960499081,462104224.5093831,0.4730102906051611,0.520724345893775,27589,36188,-0.5464242290261966,Ningxiang
46204.04440401306,22239.73580389561,494605848.6270764,0.48612694735951634,0.4813374259930366,37651,35842,-0.3699570336476759,Wangcheng
26894.425183547723,13313.359727882666,177245547.244008,1.4165294284040586,0.4950230256650706,24473,12582,-0.2109362581465586,Anren
25912.043007560387,16790.17112192599,281909846.3035574,1.2756542273338058,0.6479678625505175,20981,19394,-0.14571516964009487,Guidong
23380.305810006637,9742.984050307577,94925738.20454784,2.038044258882235,0.4167175626136437,21311,14142,-0.49710083439400365,Jiahe
23435.83953072655,10937.55861971249,119630188.55964701,2.081874921605948,0.4667022320822918,20078,16485,-0.43390961480133455,Linwu
25606.73040852267,16264.489864974905,264533630.56787142,1.363413245238903,0.6351646463838119,20981,19394,-0.14571516964009487,Rucheng
24662.255035843693,13490.549540741433,181994926.91119888,1.7242257177532563,0.5470120036117745,20518,16485,-0.3805277525022748,Yizhang
27786.286453280507,15336.03325151533,235193915.89158386,1.2509820090090573,0.551928134668198,24194,14336,-0.10170200892857142,Yongxing
26446.836563857476,16065.416821185856,258097617.63844144,1.2915793896951673,0.6074608122750311,21311,19394,-0.11168402598741879,Zixing
23582.778213115605,7227.955903979426,52243346.54987104,1.3842578661266802,0.3064929771488749,21911,6840,-0.0652046783625731,Changning
