County,GDPPC,distance_km,equal_weight,raw_idw,normalised_idw
Hanshou,20981,65.12186281717673,0.2,0.015355826088811407,0.13678371231512962
Jinshi,34592,25.533654262031476,0.2,0.03916399860896524,0.3488576314850338
Li,24473,54.905780943990635,0.2,0.018213018425511505,0.1622344677711931
Nan,21311,35.606994191505514,0.2,0.028084370015106816,0.2501646193751187
Taoyuan,22879,87.36414082266161,0.2,0.011446343895602158,0.10195956905352488
