statistic,minimum,maximum
GDPPC_LM,13688.698603325904,49005.83829430335
GDPPC_LSD,4282.5991761692485,22568.841153995192
GDPPC_LVar,18340655.703725524,509352591.03426707
GDPPC_LSKe,-0.2150598900536281,3.7525953469341955
GDPPC_LCV,0.20005025864534887,0.8018152530567213
GDPPC_Median,11580,41491
GDPPC_IQR,4074,36188
GDPPC_QI,-0.8476792464522526,0.6323083014385641
