distance_km,all_records_L_minus_r_km,unique_locations_L_minus_r_km
1,0.8932767322838201,0.7263395853174022
3,1.2739838130473409,1.250359410231641
5,1.9358359666845382,1.9310895823514211
10,3.833629941664538,3.8060263269626358
