distance_km,observed,lower,upper
0.25,0.9104993267231585,-0.2753016337313693,0.2753016337313693
0.3,0.9465762437688018,-0.2753016337313693,0.2753016337313693
0.35,0.9307353421428115,-0.2753016337313693,0.2753016337313693
0.4,0.920656764852926,-0.2753016337313693,0.2753016337313693
0.45,0.9031348341200737,-0.2753016337313693,0.2753016337313693
0.5,0.9161332227342109,-0.2753016337313693,0.2753016337313693
0.55,0.9026996145840603,-0.2753016337313693,0.2753016337313693
0.6,0.9001838412792754,-0.2753016337313693,0.2753016337313693
0.65,0.9018767084757429,-0.2753016337313693,0.2753016337313693
0.7,0.8854596570489275,-0.2753016337313693,0.2753016337313693
0.75,0.9216075408451582,-0.2753016337313693,0.2753016337313693
0.8,0.908009117282432,-0.2753016337313693,0.2753016337313693
0.85,0.913592666917767,-0.2753016337313693,0.2753016337313693
0.9,0.8981077181516869,-0.2753016337313693,0.2753016337313693
0.95,0.9011237032083759,-0.2753016337313693,0.2753016337313693
1,0.8932767322838201,-0.2753016337313693,0.2753016337313693
1.05,0.8937977740840736,-0.2753016337313693,0.2753016337313693
1.1,0.8707132699493341,-0.2753016337313693,0.2753016337313693
1.15,0.8518144978896856,-0.2753016337313693,0.2753016337313693
1.2,0.8583755718690786,-0.2753016337313693,0.2753016337313693
1.25,0.8381742143655397,-0.2753016337313693,0.2753016337313693
1.3,0.8134051106278385,-0.2753016337313693,0.2753016337313693
1.35,0.8495394437869973,-0.2753016337313693,0.2753016337313693
1.4,0.8511209178582589,-0.2753016337313693,0.2753016337313693
1.45,0.8747808711366146,-0.2753016337313693,0.2753016337313693
1.5,0.8662770823005644,-0.2753016337313693,0.2753016337313693
1.55,0.857313124329593,-0.2753016337313693,0.2753016337313693
1.6,0.8657930116925127,-0.2753016337313693,0.2753016337313693
1.65,0.8693210519878362,-0.2753016337313693,0.2753016337313693
1.7,0.8613518032888046,-0.2753016337313693,0.2753016337313693
1.75,0.8799401525363791,-0.2753016337313693,0.2753016337313693
1.8,0.893563398925567,-0.2753016337313693,0.2753016337313693
1.85,0.896061945718227,-0.2753016337313693,0.2753016337313693
1.9,0.8944667210607494,-0.2753016337313693,0.2753016337313693
1.95,0.9141568468132646,-0.2753016337313693,0.2753016337313693
2,0.9534271134129272,-0.2753016337313693,0.2753016337313693
2.05,0.9872525231915624,-0.2753016337313693,0.2753016337313693
2.1,1.013007781202772,-0.2753016337313693,0.2753016337313693
2.15,1.0229454030768934,-0.2753016337313693,0.2753016337313693
2.2,1.0011264786049383,-0.2753016337313693,0.2753016337313693
2.25,1.009583780601194,-0.2753016337313693,0.2753016337313693
2.3,1.027886117454489,-0.2753016337313693,0.2753016337313693
2.35,1.031446450466787,-0.2753016337313693,0.2753016337313693
2.4,1.0421044617670445,-0.2753016337313693,0.2753016337313693
2.45,1.0902792058672166,-0.2753016337313693,0.2753016337313693
2.5,1.1308291625534048,-0.2753016337313693,0.2753016337313693
2.55,1.1547678301255906,-0.2753016337313693,0.2753016337313693
2.6,1.170049042079694,-0.2753016337313693,0.2753016337313693
2.65,1.1960485337479767,-0.2753016337313693,0.2753016337313693
2.7,1.2021920093909826,-0.2753016337313693,0.2753016337313693
2.75,1.2076478418069652,-0.2753016337313693,0.2753016337313693
2.8,1.223766198432219,-0.2753016337313693,0.2753016337313693
2.85,1.229879510751909,-0.2753016337313693,0.2753016337313693
2.9,1.2308050236222716,-0.2753016337313693,0.2753016337313693
2.95,1.2572368691081819,-0.2753016337313693,0.2753016337313693
3,1.2739838130473409,-0.2753016337313693,0.2753016337313693
3.05,1.2979149931138818,-0.2753016337313693,0.2753016337313693
3.1,1.3166825364738552,-0.2753016337313693,0.2753016337313693
3.15,1.3586760870476027,-0.2753016337313693,0.2753016337313693
3.2,1.360992372393689,-0.2753016337313693,0.2753016337313693
3.25,1.3647653935301813,-0.2753016337313693,0.2753016337313693
3.3,1.362203360958809,-0.2753016337313693,0.2753016337313693
3.35,1.3706457947120707,-0.2753016337313693,0.2753016337313693
