province,area_km2,mapped_records,records_per_km2
Bangkok,1570.7019024468273,232,0.14770466607227775
Nakhon Pathom,2088.4542409328606,53,0.025377620903164352
Nonthaburi,638.9550239481206,54,0.08451299070524952
Pathum Thani,1513.640753504271,81,0.05351335831337435
Samut Sakhon,839.41752992214,40,0.04765209037713352
Samut Prakan,952.909224729369,70,0.07345925318319838
