spatial_m,lag_days,ratio
8000,9,7.055157629169738
9000,9,6.235438901348739
10000,9,5.801024337843519
11000,9,6.050776659123617
12000,9,6.204650029965748
13000,9,6.293991914819742
14000,9,6.19798741397641
15000,9,6.247261747642808
16000,9,6.1501523958594655
17000,9,6.043782845642766
18000,9,5.834332009912737
19000,9,5.718860123924311
20000,9,5.611744382297201
21000,9,5.484136778209396
22000,9,5.398134745048536
23000,9,5.269531680416732
24000,9,5.139482900770895
25000,9,5.023760898677007
26000,9,4.919024890739759
27000,9,4.799681233489464
28000,9,4.678091810124106
29000,9,4.546428518126963
30000,9,4.466933480271358
1000,11,33.90483294004059
2000,11,27.342077529768773
3000,11,17.113855947501538
4000,11,12.523882639356001
5000,11,10.13698689580361
6000,11,8.24256780803562
7000,11,7.069551594234597
8000,11,6.397118461790494
9000,11,5.6869383390617125
10000,11,5.334760894531554
11000,11,5.540623225386201
12000,11,5.73465750514687
13000,11,5.828957391189861
14000,11,5.755042188979015
15000,11,5.741739424251035
16000,11,5.625491116127121
17000,11,5.5201747932014396
18000,11,5.322711411301153
19000,11,5.231402590366407
20000,11,5.151885822200966
21000,11,5.059750493862035
22000,11,4.994469746138613
23000,11,4.878570432350821
24000,11,4.759600133846086
25000,11,4.660422090403296
26000,11,4.569624612035907
27000,11,4.462336194857038
28000,11,4.348636348172987
29000,11,4.230629445047897
30000,11,4.164374111128869
1000,13,31.16388516839329
2000,13,24.580065529767193
3000,13,15.827099869385709
4000,13,11.724522633187375
5000,13,9.503471593364928
6000,13,7.8102193615409226
7000,13,6.767824134527702
8000,13,6.149938399040671
9000,13,5.540858854833156
10000,13,5.231492017213497
11000,13,5.378279258149483
12000,13,5.5604101295518
13000,13,5.648544225774627
14000,13,5.576752471323458
15000,13,5.599145385916623
16000,13,5.513661123435314
17000,13,5.416250447127669
18000,13,5.2311488740362035
19000,13,5.163864681201488
20000,13,5.104795164727674
21000,13,5.057180388107705
22000,13,5.007788874495605
23000,13,4.890436147522414
24000,13,4.777240582904452
25000,13,4.68006200123907
26000,13,4.582307733618148
27000,13,4.479625651828519
28000,13,4.372874868516668
29000,13,4.262227885043769
30000,13,4.1961176037171715
1000,15,29.024382157651083
2000,15,22.65099685442988
3000,15,15.100710039289496
4000,15,11.221472850940224
5000,15,9.050982437759577
6000,15,7.5538793987508726
7000,15,6.628287752508893
8000,15,6.0170561137416065
9000,15,5.470497939715676
10000,15,5.1992183581529385
11000,15,5.319588155189864
12000,15,5.477796068084508
13000,15,5.567412649286191
14000,15,5.566972578437626
15000,15,5.630770781751332
16000,15,5.5792207520786015
17000,15,5.5082190812876375
18000,15,5.3524038872541215
19000,15,5.279651181705292
20000,15,5.238341264098764
21000,15,5.1925207368409065
22000,15,5.149072432392427
23000,15,5.032035642901623
24000,15,4.9172854835539015
25000,15,4.829073903189754
26000,15,4.722893798804278
27000,15,4.61540548689251
28000,15,4.502172321917397
29000,15,4.398061773686457
30000,15,4.324477508047275
1000,17,26.046278774496372
2000,17,20.640968412879772
3000,17,13.857692353741653
4000,17,10.365112499463516
5000,17,8.526588139895868
6000,17,7.152847338893935
7000,17,6.300775832289516
8000,17,5.7345324738410834
9000,17,5.235235229639494
10000,17,5.014034969689318
11000,17,5.158129614261878
12000,17,5.298939179806753
13000,17,5.371573845035897
14000,17,5.377094375737349
15000,17,5.454620489290092
16000,17,5.449216200842535
17000,17,5.413704857879584
18000,17,5.263672515024155
19000,17,5.2052210105244
20000,17,5.161962290333699
21000,17,5.118976320867653
22000,17,5.066119598010915
23000,17,4.945320208727813
24000,17,4.826111649506188
25000,17,4.737254319460103
26000,17,4.6401568591269085
27000,17,4.537011494481714
28000,17,4.4290103645283
29000,17,4.331050460661894
30000,17,4.2656540708803545
1000,19,23.562992292731067
2000,19,18.8707363341783
3000,19,12.850901280698507
4000,19,9.722843752770409
5000,19,8.172281574435665
6000,19,6.995149481565021
7000,19,6.1659149639472615
8000,19,5.596399680785965
9000,19,5.111984520395284
10000,19,4.905187359342864
11000,19,5.035481400083672
12000,19,5.188374036708027
13000,19,5.330257591644508
14000,19,5.320105348033335
15000,19,5.388149730622562
16000,19,5.404384518165636
17000,19,5.37777472302494
18000,19,5.23229961494879
19000,19,5.178999287405637
20000,19,5.143310259333803
21000,19,5.097826062332977
22000,19,5.040060145308365
23000,19,4.919830090217478
24000,19,4.802548692696719
25000,19,4.713100973500136
