r,obs,theo,lo,hi
0,0,0,0,0
6.21072734374539,0.0011491317671092952,0.001464835580795798,3.8304392236976505e-4,0.003319713993871297
12.42145468749078,0.005107252298263534,0.005846480431550671,0.003319713993871297,0.008682328907048007
18.63218203123617,0.011494252873563218,0.013106536915376776,0.007790549169859514,0.01979565772669221
24.84290937498156,0.02278254191731729,0.02318163191920819,0.014207090746192244,0.03494176372712146
31.05363671872695,0.03319880223929176,0.03598433792007727,0.023043874495508397,0.05233693529488348
37.26436406247234,0.04786460399312442,0.051404436125523145,0.031865661774428136,0.07602803120454846
43.47509140621773,0.06721113937608783,0.06931049616471718,0.04137100013388673,0.10001338867318249
49.68581874996312,0.08675424192665572,0.08955174066895555,0.053366174055829226,0.13149972632731252
55.89654609370851,0.10576923076923077,0.11196015775720292,0.07074175824175824,0.16442307692307692
62.1072734374539,0.1304649548924358,0.13635282006133187,0.0842470506592644,0.19777931991672448
68.31800078119929,0.15609479211011779,0.16253436558425893,0.09947495388108415,0.23442599687810417
74.52872812494468,0.18041978148361126,0.19029959344812808,0.11702127659574468,0.2724266820011501
80.73945546869007,0.20834540712836858,0.21943612649151456,0.1367719501593741,0.3107794842074761
86.95018281243546,0.23711952487008167,0.24972709271321103,0.15694135115070526,0.355011135857461
93.16091015618085,0.2657113001940588,0.280953778701747,0.18092252575011195,0.3973727422003284
99.37163749992624,0.2955665024630542,0.31289821036994525,0.2018211673384087,0.4346917450365726
105.58236484367163,0.3254847645429363,0.3453456194404405,0.22437673130193905,0.4706063404124346
111.79309218741702,0.35285870073220127,0.3780867580852836,0.24957158435893442,0.5122293192085995
118.0038195311624,0.3838288500865188,0.41092002877536793,0.276230926537675,0.5530910806984427
124.2145468749078,0.41641482424049625,0.4436534015940259,0.30109750278352154,0.5891522188643232
130.4252742186532,0.44520214320506574,0.47610609685539806,0.3278129566488066,0.6231531092709856
136.63600156239858,0.47281090849351076,0.5081100166801433,0.35009035649745357,0.6605881386561524
142.84672890614397,0.5052160953800298,0.5395109150584436,0.37638681900976984,0.6943202516973008
149.05745624988936,0.532051282051282,0.5701693017193918,0.4043522267206478,0.7349865047233468
155.26818359363475,0.5587231136906794,0.5999610806840476,0.43052236258108567,0.7661317855923523
