test,R,p_value
Singapore: analytical,0.5353162048446065,0
Singapore: Monte Carlo (99),0.5353162048446065,0.01
CHOA CHU KANG,0.8409673114474404,0.008866444056742528
TAMPINES,0.6681710780814493,6.579625733138528e-12
